LOG1;LOCAL;TIPO_ACID;DIA_SEM;TEMPO;NOITE_DIA;REGIAO;LONGITUDE;LATITUDE;ANO
R TEN ARY TARRAGO;Logradouro;ABALROAMENTO;QUINTA-FEIRA;CHUVOSO;NOITE;NORTE;-51,131186;-30,017461;2013
AV ASSIS BRASIL;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;DIA;NORTE;-51,140441;-30,006023;2013
R TEREZINHA TURCATO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;NOITE;NORTE;-51,116554;-30,01312;2013
AV DA AZENHA;Logradouro;CHOQUE;SABADO;BOM;DIA;SUL;-51,213974;-30,052799;2013
R GIUSEPPE MANDELLI;Cruzamento;ABALROAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-51,165291;-29,985282;2013
AV GOETHE;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-51,199369;-30,026086;2013
R ANTONIO ONOFRE DA SILVEIRA;Logradouro;ABALROAMENTO;DOMINGO;BOM;NOITE;SUL;-51,144333;-30,156868;2013
AV PROF OSCAR PEREIRA;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;DIA;SUL;-51,176789;-30,097053;2013
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,183062;-30,007587;2013
R MARCELO GAMA;Logradouro;CHOQUE;DOMINGO;BOM;DIA;NORTE;-51,191027;-30,012882;2013
R JOAO MOREIRA MACIEL;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;NORTE;-51,177048;-29,968368;2013
R GUILHERME ALVES;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;NOITE;LESTE;-51,187342;-30,052613;2013
R CARMELITA GRIPPI;Logradouro;CHOQUE;SEXTA-FEIRA;CHUVOSO;NOITE;NORTE;-51,095074;-30,002332;2013
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;ABALROAMENTO;DOMINGO;CHUVOSO;DIA;LESTE;-51,098203;-30,128158;2013
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;CHUVOSO;NOITE;NORTE;-51,112054;-30,01437;2013
R SARGENTO SILVIO DELMAR HOLLENBACH;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,109823;-30,021411;2013
R GUILHERME ALVES;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;NOITE;LESTE;-51,185227;-30,048551;2013
R DOS MAIAS;Logradouro;CHOQUE;TERCA-FEIRA;BOM;NOITE;NORTE;-51,095151;-29,996365;2013
AV CEARA;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;DIA;NORTE;-51,193965;-30,007085;2013
AV TERESOPOLIS;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;SUL;-51,211722;-30,080696;2013
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;NORTE;-51,112348;-30,014327;2013
AV BENTO GONCALVES;Cruzamento;ABALROAMENTO;SABADO;BOM;DIA;LESTE;-51,182574;-30,063996;2013
AV BRASIL;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-51,197087;-30,005499;2013
AV SERTORIO;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;NOITE;NORTE;-51,184146;-30,002343;2013
AV MANOEL ELIAS;Logradouro;COLISAO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,11963;-30,019312;2013
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;COLISAO;SABADO;NUBLADO;NOITE;NORTE;-51,105698;-30,015449;2013
AV DA CAVALHADA;Logradouro;COLISAO;DOMINGO;BOM;DIA;SUL;-51,226982;-30,109092;2013
AV CEL LUCAS DE OLIVEIRA;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-51,194387;-30,037036;2013
AV ANTONIO CARVALHO;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;DIA;LESTE;-51,143614;-30,045864;2013
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;ATROPELAMENTO;DOMINGO;CHUVOSO;NOITE;NORTE;-51,133675;-30,009258;2013
AV BRASILIANO INDIO DE MORAES;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,178086;-30,008437;2013
AV PADRE CACIQUE;Logradouro;CHOQUE;SABADO;BOM;NOITE;SUL;-51,241114;-30,072473;2013
R DR SEBASTIAO LEAO;Logradouro;ATROPELAMENTO;DOMINGO;BOM;NOITE;CENTRO;-51,214683;-30,042632;2013
AV NONOAI;Logradouro;COLISAO;SEGUNDA-FEIRA;BOM;NOITE;SUL;-51,216483;-30,08662;2013
AV DA AZENHA;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;SUL;-51,215523;-30,056502;2013
AV MANOEL ELIAS;Logradouro;QUEDA;SABADO;BOM;DIA;NORTE;-51,121432;-30,032783;2013
AV WENCESLAU ESCOBAR;Logradouro;ATROPELAMENTO;DOMINGO;BOM;DIA;SUL;-51,254473;-30,113681;2013
AV OTTO NIEMEYER;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;SUL;-51,234359;-30,102298;2013
ESTR AFONSO LOURENCO MARIANTE;Logradouro;COLISAO;QUINTA-FEIRA;BOM;DIA;SUL;-51,151421;-30,104441;2013
AV PROTASIO ALVES;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;DIA;LESTE;-51,125317;-30,038779;2013
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;SABADO;BOM;DIA;LESTE;-51,131552;-30,07951;2013
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;LESTE;-51,12542;-30,099498;2013
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;NOITE;NORTE;-51,105299;-30,015374;2013
AV BRASIL;Cruzamento;ABALROAMENTO;SABADO;BOM;NOITE;NORTE;-51,199477;-30,004798;2013
AV PROF OSCAR PEREIRA;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;SUL;-51,187446;-30,086506;2013
R VICENTE DA FONTOURA;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-51,203387;-30,048722;2013
AV PROF OSCAR PEREIRA;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;NOITE;SUL;-51,196615;-30,081843;2013
AV SENADOR SALGADO FILHO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;CENTRO;-51,226519;-30,030019;2013
R CAMAQUA;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;CHUVOSO;DIA;SUL;-51,240695;-30,099777;2013
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;SABADO;BOM;DIA;NORTE;-51,155072;-30,009476;2013
R CEL MASSOT;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;NOITE;SUL;-51,248334;-30,099772;2013
R COMANDAI;Logradouro;COLISAO;TERCA-FEIRA;BOM;DIA;SUL;-51,233775;-30,084683;2013
AV DO LAMI;Logradouro;COLISAO;SEXTA-FEIRA;BOM;DIA;SUL;-51,127374;-30,212959;2013
AV IRMAO FAUSTINO JOAO;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;NORTE;-51,092226;-30,021267;2013
AV CRISTOVAO COLOMBO;Logradouro;ABALROAMENTO;SABADO;BOM;NOITE;NORTE;-30,016978;-51,196754;2012
AV SERTORIO;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;NOITE;NORTE;-30,002325;-51,182953;2012
AV ASSIS BRASIL;Logradouro;CHOQUE;SABADO;BOM;NOITE;NORTE;-29,998151;-51,132377;2012
AV JOAO PESSOA;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;CENTRO;-30,043679;-51,213693;2012
R ERECHIM;Cruzamento;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;SUL;-30,087749;-51,217512;2012
AV VILA SANTISSIMA TRINDADE;Logradouro;CHOQUE;SABADO;BOM;DIA;NORTE;-30,000733;-51,107177;2012
AV SERTORIO;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;NORTE;-30,008321;-51,128215;2012
AV PROF OSCAR PEREIRA;Logradouro;COLISAO;TERCA-FEIRA;BOM;DIA;SUL;-30,086891;-51,186768;2012
R VOLUNTARIOS DA PATRIA;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;NOITE;NORTE;-30,01752;-51,213596;2012
AV EDVALDO PEREIRA PAIVA;Logradouro;QUEDA;SEXTA-FEIRA;BOM;DIA;SUL;-30,060537;-51,236487;2012
AV FARRAPOS;Cruzamento;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;CENTRO;-30,024417;-51,215343;2012
AV MONTE CRISTO;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;DIA;SUL;-30,119558;-51,215095;2012
AV MAUA;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;CENTRO;-30,023302;-51,222965;2012
AV MANOEL ELIAS;Logradouro;CHOQUE;TERCA-FEIRA;BOM;DIA;NORTE;-30,021856;-51,119927;2012
ESTR ARACAJU;Logradouro;QUEDA;DOMINGO;BOM;NOITE;SUL;-30,102649;-51,220605;2012
AV ASSIS BRASIL;Logradouro;EVENTUAL;QUARTA-FEIRA;BOM;NOITE;NORTE;-29,958719;-51,110951;2012
AV JUCA BATISTA;Logradouro;COLISAO;SABADO;BOM;NOITE;SUL;-30,14183;-51,217486;2012
R ARISTIDES ROSA;Logradouro;CAPOTAGEM;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-30,061755;-51,145884;2012
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;TERCA-FEIRA;BOM;DIA;LESTE;-30,114653;-51,108644;2012
AV FRANCISCO SILVEIRA BITENCOURT;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;NOITE;NORTE;-29,991994;-51,119332;2012
R ERNESTO ALVES;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;CENTRO;-30,023564;-51,215367;2012
AV ERICO VERISSIMO;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;CENTRO;-30,043666;-51,219938;2012
AV SERTORIO;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;DIA;NORTE;-30,002232;-51,170917;2012
AV JUSCELINO KUBITSCHEK DE OLIVEIRA;Logradouro;CHOQUE;TERCA-FEIRA;BOM;DIA;NORTE;-30,020235;-51,107511;2012
AV ALBERTO PASQUALINI;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;LESTE;-30,029102;-51,140971;2012
AV DAS INDUSTRIAS;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;DIA;NORTE;-29,984994;-51,164159;2012
R BOM JESUS;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-30,042717;-51,151019;2012
AV CRISTOVAO COLOMBO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;CENTRO;-30,024774;-51,212775;2012
AV PROTASIO ALVES;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-30,040238;-51,106281;2012
AV PROTASIO ALVES;Logradouro;QUEDA;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-30,040426;-51,105167;2012
AV JOSE ALOISIO FILHO;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;BOM;NOITE;NORTE;-29,975023;-51,181708;2012
AV AUGUSTO MEYER;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-30,02082;-51,184645;2012
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;NOITE;NORTE;-30,01091;-51,096396;2012
R JOAO MOREIRA MACIEL;Logradouro;COLISAO;TERCA-FEIRA;NUBLADO;DIA;NORTE;-29,973198;-51,198759;2012
VA NOVE CEFER DOIS;Logradouro;QUEDA;TERCA-FEIRA;BOM;NOITE;LESTE;-30,053779;-51,153318;2012
AV DR CARLOS BARBOSA;Logradouro;CHOQUE;QUARTA-FEIRA;BOM;NOITE;SUL;-30,059234;-51,21187;2012
AV LUIZ MOSCHETTI;Logradouro;QUEDA;SEXTA-FEIRA;BOM;NOITE;LESTE;-30,07215;-51,174556;2012
AV NONOAI;Logradouro;ABALROAMENTO;DOMINGO;BOM;DIA;SUL;-30,09074;-51,22106;2012
AV CEL APARICIO BORGES;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-30,072876;-51,201219;2012
AV PROF OSCAR PEREIRA;Cruzamento;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;SUL;-30,061127;-51,206331;2012
AV DA CAVALHADA;Logradouro;CHOQUE;SEGUNDA-FEIRA;BOM;NOITE;SUL;-30,116112;-51,224535;2012
BC DA FUMACA;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;DIA;LESTE;-30,030603;-51,106176;2012
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;NOITE;NORTE;-30,010883;-51,095529;2012
AV ELVIO ANTONIO FILIPETTO;Logradouro;ATROPELAMENTO;DOMINGO;BOM;NOITE;NORTE;-30,000123;-51,114586;2012
AV BENTO GONCALVES;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;DIA;LESTE;-30,057614;-51,194392;2012
R ERNESTO ARAUJO;Logradouro;CHOQUE;QUARTA-FEIRA;BOM;DIA;LESTE;-30,075286;-51,166898;2012
R WOLFRAM METZLER;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-30,023495;-51,105739;2012
AV OTTO NIEMEYER;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;SUL;-30,103813;-51,238653;2012
R GLENIO PERES;Logradouro;EVENTUAL;DOMINGO;BOM;NOITE;SUL;-30,123389;-51,211617;2012
AV PROTASIO ALVES;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;NOITE;LESTE;-30,037044;-51,203715;2012
AV PLINIO KROEFF;Logradouro;EVENTUAL;DOMINGO;BOM;NOITE;NORTE;-30,005289;-51,116892;2012
AV SERTORIO;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;NORTE;-30,0009;-51,163159;2012
AV BERNARDINO SILVEIRA DE AMORIM;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;NORTE;-29,986249;-51,110388;2012
AV BENTO GONCALVES;Logradouro;CHOQUE;SABADO;BOM;NOITE;LESTE;-30,061847;-51,177903;2012
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;ATROPELAMENTO;DOMINGO;BOM;DIA;LESTE;-30,101568;-51,12174;2012
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;NORTE;-30,009601;-51,149371;2012
VDT DOM PEDRO I;Cruzamento;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;SUL;-30,060588;-51,230958;2012
AV PRESIDENTE CASTELO BRANCO;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;NORTE;-30,015653;-51,214536;2012
AV PROF OSCAR PEREIRA;Cruzamento;CHOQUE;DOMINGO;BOM;NOITE;SUL;-30,066778;-51,205473;2012
R CARLOS ESTEVAO;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;NOITE;NORTE;-30,015589;-51,116466;2012
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;NORTE;-29,986082;-51,121158;2012
AV JOAO PESSOA;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;CENTRO;-30,037885;-51,218174;2012
AV DO LAMI;Logradouro;COLISAO;DOMINGO;BOM;DIA;SUL;-30,211038;-51,13481;2012
AV GUAIBA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;SUL;-30,155779;-51,225808;2012
R ERECHIM;Cruzamento;ATROPELAMENTO;SABADO;BOM;NOITE;SUL;-30,087749;-51,217512;2012
R PANAMA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;LESTE;-30,044386;-51,157788;2012
AV IPIRANGA;Logradouro;ABALROAMENTO;SABADO;BOM;DIA;LESTE;-30,05511;-51,188579;2012
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;NOITE;SUL;-30,088956;-51,132606;2012
AV IPIRANGA;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;NOITE;LESTE;-30,04382;-51,207512;2012
ESTR OTAVIANO JOSE PINTO;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;SUL;-30,223459;-51,09895;2012
AV BENTO GONCALVES;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;LESTE;-30,062844;-51,184973;2012
R MARECHAL MESQUITA;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;SUL;-30,082544;-51,207434;2012
R DOM PEDRO II;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;DIA;NORTE;-30,006599;-51,190577;2012
AV CARLOS GOMES;Logradouro;ABALROAMENTO;DOMINGO;BOM;DIA;LESTE;-30,034166;-51,177415;2012
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;ATROPELAMENTO;DOMINGO;BOM;NOITE;NORTE;-30,013998;-51,119727;2012
R PROF PEDRO SANTA HELENA;Cruzamento;ABALROAMENTO;SABADO;BOM;NOITE;LESTE;-30,048344;-51,165825;2012
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;SABADO;CHUVOSO;NOITE;NORTE;-29,988788;-51,124369;2012
AV ASSIS BRASIL;Logradouro;CAPOTAGEM;TERCA-FEIRA;BOM;NOITE;NORTE;-29,959905;-51,111915;2012
AV CARLOS GOMES;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;NOITE;LESTE;-30,027211;-51,181479;2012
R ANGELINA GONCALVES;Logradouro;ATROPELAMENTO;SABADO;BOM;DIA;NORTE;-29,990136;-51,136429;2012
AV BENTO GONCALVES;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;LESTE;-30,060846;-51,188924;2012
AV TERESOPOLIS;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;SUL;-30,081019;-51,212269;2012
AV FARRAPOS;Logradouro;COLISAO;QUARTA-FEIRA;BOM;DIA;NORTE;-30,009581;-51,202564;2012
R ARARAS;Cruzamento;ABALROAMENTO;DOMINGO;BOM;DIA;NORTE;-29,998139;-51,128632;2012
AV SERTORIO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;NOITE;NORTE;-29,998257;-51,160397;2012
AV PINHEIRO BORDA;Logradouro;CHOQUE;DOMINGO;BOM;DIA;SUL;-30,077869;-51,243946;2012
AV DONARIO BRAGA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;CHUVOSO;NOITE;NORTE;-29,996669;-51,105099;2012
AV LOUREIRO DA SILVA;Logradouro;CHOQUE;SABADO;BOM;NOITE;CENTRO;-30,037533;-51,229511;2012
R FELIX DA CUNHA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-30,017695;-51,202274;2012
AV AMYNTHAS JACQUES DE MORAES;Logradouro;ABALROAMENTO;QUARTA-FEIRA;BOM;DIA;NORTE;-29,987913;-51,190972;2012
R PORTUGAL;Logradouro;ABALROAMENTO;SABADO;BOM;NOITE;NORTE;-30,011022;-51,183302;2012
AV SERTORIO;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;NORTE;-30,002289;-51,184137;2012
AV IPIRANGA;Cruzamento;ABALROAMENTO;SEXTA-FEIRA;BOM;DIA;LESTE;-30,054796;-51,159355;2012
ESTR DOS BARCELLOS;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;SUL;-30,091009;-51,177348;2012
AV BENTO GONCALVES;Logradouro;ABALROAMENTO;DOMINGO;BOM;DIA;LESTE;-30,066493;-51,148364;2012
AV SATURNINO DE BRITO;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-30,035461;-51,152136;2012
R TITO LIVIO ZAMBECARI;Cruzamento;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-30,027537;-51,191449;2012
AV ROCIO;Logradouro;ABALROAMENTO;SABADO;BOM;NOITE;LESTE;-30,063102;-51,178508;2011
AV TERESOPOLIS;Logradouro;CHOQUE;DOMINGO;BOM;DIA;SUL;-30,08307;-51,213909;2011
R GARIBALDI;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;CENTRO;-30,024701;-51,21649;2011
R SALDANHA DA GAMA;Logradouro;COLISAO;QUARTA-FEIRA;BOM;NOITE;LESTE;-30,062706;-51,167956;2011
ESTR AFONSO LOURENCO MARIANTE;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;SUL;-30,110678;-51,161269;2011
AV BERNARDINO SILVEIRA DE AMORIM;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;NORTE;-29,988914;-51,109406;2011
AV PROTASIO ALVES;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;NOITE;LESTE;-30,038449;-51,110472;2011
R DOM PEDRO II;Cruzamento;QUEDA;TERCA-FEIRA;BOM;NOITE;NORTE;-30,00646;-51,190306;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;TERCA-FEIRA;CHUVOSO;DIA;LESTE;-30,117988;-51,108708;2011
AV BENTO GONCALVES;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;LESTE;-30,060727;-51,168976;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;SABADO;BOM;NOITE;LESTE;-30,079347;-51,131508;2011
AV EDGAR PIRES DE CASTRO;Logradouro;ABALROAMENTO;DOMINGO;BOM;NOITE;SUL;-30,155625;-51,16315;2011
AV A J RENNER;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;CHUVOSO;DIA;NORTE;-29,984546;-51,193551;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;ATROPELAMENTO;SABADO;CHUVOSO;NOITE;LESTE;-30,124582;-51,102003;2011
R VICENTE DA FONTOURA;Cruzamento;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-30,039418;-51,195864;2011
AV OSVALDO ARANHA;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;CENTRO;-30,035603;-51,209456;2011
AV FARRAPOS;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;NORTE;-30,006531;-51,201456;2011
AV EDGAR PIRES DE CASTRO;Logradouro;ABALROAMENTO;DOMINGO;BOM;DIA;SUL;-30,155438;-51,168176;2011
AV IPIRANGA;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;LESTE;-30,056125;-51,156815;2011
AV DA CAVALHADA;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;SUL;-30,11609;-51,22454;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;SEXTA-FEIRA;BOM;NOITE;LESTE;-30,1301;-51,097744;2011
ESTR JOAO ANTONIO SILVEIRA;Logradouro;COLISAO;DOMINGO;BOM;NOITE;SUL;-30,15048;-51,134106;2011
ESTR JOAO ANTONIO SILVEIRA;Logradouro;COLISAO;TERCA-FEIRA;BOM;DIA;SUL;-30,153696;-51,138871;2011
AV FARRAPOS;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-29,99735;-51,197899;2011
AV JUCA BATISTA;Logradouro;COLISAO;SABADO;BOM;DIA;SUL;-30,183809;-51,174744;2011
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;NORTE;-30,007802;-51,18094;2011
R DR SARMENTO BARATA;Logradouro;QUEDA;SEXTA-FEIRA;BOM;DIA;SUL;-30,113098;-51,179009;2011
R PEDRO BOTICARIO;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;DIA;SUL;-30,072477;-51,199714;2011
AV PRESIDENTE CASTELO BRANCO;Logradouro;COLISAO;SEGUNDA-FEIRA;BOM;DIA;CENTRO;-29,997855;-51,206889;2011
AV JOAO PESSOA;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;CENTRO;-30,036683;-51,219192;2011
AV DA CAVALHADA;Logradouro;QUEDA;TERCA-FEIRA;NUBLADO;DIA;SUL;-30,094834;-51,226286;2011
AV EDGAR PIRES DE CASTRO;Logradouro;CHOQUE;QUINTA-FEIRA;BOM;DIA;SUL;-30,210686;-51,109397;2011
AV PROTASIO ALVES;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;LESTE;-30,038808;-51,125421;2011
AV PROTASIO ALVES;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;DIA;LESTE;-30,04245;-51,182595;2011
AV LOUREIRO DA SILVA;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;NOITE;CENTRO;-30,034723;-51,224385;2011
R GUADALAJARA;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;DIA;LESTE;-30,029631;-51,143558;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;LESTE;-30,082614;-51,131742;2011
AV ASSIS BRASIL;Logradouro;TOMBAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-30,007659;-51,142639;2011
R PROF CRISTIANO FISCHER;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;LESTE;-30,040149;-51,171761;2011
AV IPIRANGA;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;BOM;NOITE;LESTE;-30,056841;-51,183922;2011
AV SERTORIO;Logradouro;QUEDA;QUARTA-FEIRA;BOM;NOITE;NORTE;-29,997276;-51,136905;2011
AV JUCA BATISTA;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;BOM;DIA;SUL;-30,141371;-51,218159;2011
R CAIRU;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;NORTE;-30,005016;-51,195826;2011
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;ATROPELAMENTO;DOMINGO;CHUVOSO;DIA;LESTE;-30,107717;-51,11274;2011
AV IPIRANGA;Cruzamento;CHOQUE;TERCA-FEIRA;BOM;DIA;CENTRO;-30,046731;-51,227522;2011
AV PLINIO KROEFF;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;NOITE;NORTE;-29,996839;-51,114153;2011
ESTR JOAO ANTONIO SILVEIRA;Logradouro;COLISAO;DOMINGO;BOM;NOITE;SUL;-30,159058;-51,147754;2011
AV ASSIS BRASIL;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;NOITE;NORTE;-30,001885;-51,134648;2011
AV EDVALDO PEREIRA PAIVA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;CENTRO;-30,047076;-51,232737;2011
AV CRISTOVAO COLOMBO;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;CENTRO;-30,024264;-51,212003;2011
AV TRAMANDAI;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;SUL;-30,134628;-51,227295;2011
