LOG1;LOCAL;TIPO_ACID;DIA_SEM;TEMPO;NOITE_DIA;REGIAO;LONGITUDE;LATITUDE;ANO
AV SERTORIO;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;DIA;NORTE;-51,199507;-29998998;2014
AV CEL APARICIO BORGES;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;SUL;-51,199409;-30,072471;2014
AV JUCA BATISTA;Logradouro;CHOQUE;DOMINGO;BOM;NOITE;SUL;-51,198756;-30,154484;2014
R EUCLYDES DA CUNHA;Cruzamento;ATROPELAMENTO;DOMINGO;BOM;DIA;LESTE;-51,198436;-30,052322;2014
R PAULINO AZURENHA;Logradouro;QUEDA;SABADO;BOM;DIA;SUL;-51,197991;-30,069786;2014
R LAURO MULLER;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;BOM;DIA;NORTE;-51,197436;-29996240;2014
AV A J RENNER;Logradouro;ABALROAMENTO;SABADO;BOM;NOITE;NORTE;-51,196206;-29992367;2014
AV CEL LUCAS DE OLIVEIRA;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-51,195872;-30,046097;2014
ESTR CRISTIANO KRAEMER;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;SUL;-51,195577;-30,135223;2014
R CAIRU;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;BOM;NOITE;NORTE;-51,193415;-30,005736;2014
R CLEBERTO GUEDES;Logradouro;CHOQUE;QUARTA-FEIRA;BOM;DIA;SUL;-51,193371;-30,080651;2014
AV ERNESTO NEUGEBAUER;Logradouro;QUEDA;DOMINGO;BOM;DIA;NORTE;-51,192317;-29991996;2014
AV BENTO GONCALVES;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-51,192156;-30,058989;2014
AV BENTO GONCALVES;Logradouro;ABALROAMENTO;TERCA-FEIRA;BOM;NOITE;LESTE;-51,19204;-30,058994;2014
AV SERTORIO;Logradouro;ABALROAMENTO;QUARTA-FEIRA;BOM;DIA;NORTE;-51,190354;-30,000955;2014
ESTR RETIRO DA PONTA GROSSA;Logradouro;COLISAO;SABADO;BOM;DIA;SUL;-51,189396;-30,181088;2014
R EDU CHAVES;Logradouro;CHOQUE;SABADO;BOM;NOITE;NORTE;-51,188633;-29996841;2014
AV PROF OSCAR PEREIRA;Logradouro;CHOQUE;SABADO;BOM;NOITE;SUL;-51,187496;-30,086538;2014
R MARIA LUIZA PERES;Logradouro;COLISAO;SABADO;BOM;DIA;LESTE;-51,186452;-30,072292;2014
R GUILHERME ALVES;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;LESTE;-51,186281;-30,050878;2014
AV IPIRANGA;Logradouro;CAPOTAGEM;DOMINGO;CHUVOSO;DIA;LESTE;-51,185553;-30,056006;2014
R GUILHERME ALVES;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;LESTE;-51,185263;-30,048682;2014
AV DR NILO PECANHA;Logradouro;CHOQUE;TERCA-FEIRA;BOM;DIA;LESTE;-51,185052;-30,033418;2014
AV AUGUSTO MEYER;Logradouro;COLISAO;SABADO;BOM;NOITE;NORTE;-51,18501;-30,020445;2014
R DR SALVADOR FRANCA;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;LESTE;-51,183337;-30,055516;2014
AV SEVERO DULLIUS;Logradouro;ABALROAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-51,178763;-29987264;2014
AV BENTO GONCALVES;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-51,178303;-30,062274;2014
AV PROF OSCAR PEREIRA;Logradouro;QUEDA;DOMINGO;BOM;NOITE;SUL;-51,17766;-30,095191;2014
AV JUCA BATISTA;Logradouro;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;SUL;-51,176861;-30,173407;2014
AV LUIZ MOSCHETTI;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-51,176811;-30,06825;2014
ESTR COSTA GAMA;Logradouro;QUEDA;TERCA-FEIRA;BOM;DIA;SUL;-51,175272;-30,134066;2014
AV PLINIO BRASIL MILANO;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;DIA;NORTE;-51,17517;-30,017548;2014
AV EDGAR PIRES DE CASTRO;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;SUL;-51,174652;-30,154716;2014
AV EDGAR PIRES DE CASTRO;Logradouro;CHOQUE;SABADO;BOM;NOITE;SUL;-51,173161;-30,154983;2014
AV PLINIO BRASIL MILANO;Logradouro;ATROPELAMENTO;SABADO;BOM;NOITE;NORTE;-51,171614;-30,011858;2014
AV IPIRANGA;Logradouro;ABALROAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-51,169218;-30,054616;2014
ESTR AFONSO LOURENCO MARIANTE;Logradouro;COLISAO;SEGUNDA-FEIRA;BOM;DIA;SUL;-51,166037;-30,112863;2014
AV JOAO WALLIG;Logradouro;ABALROAMENTO;SABADO;BOM;NOITE;NORTE;-51,163292;-30,02528;2014
R NOVE DE JUNHO;Logradouro;CHOQUE;TERCA-FEIRA;BOM;NOITE;LESTE;-51,161099;-30,071319;2014
R NOVE DE JUNHO;Logradouro;ABALROAMENTO;QUARTA-FEIRA;BOM;DIA;LESTE;-51,161035;-30,071322;2014
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-51,159193;-30,009723;2014
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;QUINTA-FEIRA;CHUVOSO;DIA;NORTE;-51,159133;-30,009716;2014
AV DO FORTE;Logradouro;QUEDA;DOMINGO;BOM;NOITE;NORTE;-51,152725;-30,01327;2014
AV SERTORIO;Logradouro;CAPOTAGEM;QUINTA-FEIRA;BOM;DIA;NORTE;-51,152584;-29997156;2014
AV SERTORIO;Logradouro;ABALROAMENTO;QUARTA-FEIRA;BOM;NOITE;NORTE;-51,151829;-29997142;2014
ESTR JOAO ANTONIO SILVEIRA;Logradouro;ATROPELAMENTO;DOMINGO;BOM;NOITE;SUL;-51,151661;-30,163206;2014
AV IPIRANGA;Logradouro;CHOQUE;QUARTA-FEIRA;BOM;NOITE;LESTE;-51,151402;-30,060826;2014
AV SERTORIO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;NOITE;NORTE;-51,149813;-29997046;2014
R CAPITAO PEDROSO;Logradouro;ABALROAMENTO;DOMINGO;BOM;NOITE;SUL;-51,148621;-30,164808;2014
AV ANTONIO CARVALHO;Logradouro;QUEDA;QUINTA-FEIRA;BOM;NOITE;NORTE;-51,147638;-30,056327;2014
ESTR BARRO VERMELHO;Logradouro;ATROPELAMENTO;SEXTA-FEIRA;BOM;DIA;SUL;-51,147629;-30,162271;2014
ESTR JOAO ANTONIO SILVEIRA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;SUL;-51,1463;-30,157868;2014
ESTR CHACARA DO BANCO;Logradouro;CHOQUE;TERCA-FEIRA;BOM;DIA;SUL;-51,144287;-30,163765;2014
R PAUL HARRIS;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;DIA;NORTE;-51,142928;-30,022406;2014
R JOAQUIM SILVEIRA;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;NOITE;NORTE;-51,142731;-30,005727;2014
AV SERTORIO;Cruzamento;ABALROAMENTO;TERCA-FEIRA;BOM;NOITE;NORTE;-51,142609;-29996932;2014
AV EDGAR PIRES DE CASTRO;Logradouro;COLISAO;SEXTA-FEIRA;BOM;DIA;SUL;-51,142425;-30,178217;2014
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;ABALROAMENTO;QUINTA-FEIRA;BOM;DIA;NORTE;-51,138271;-30,00947;2014
AV BALTAZAR DE OLIVEIRA GARCIA;Logradouro;ATROPELAMENTO;TERCA-FEIRA;BOM;NOITE;LESTE;-51,136924;-30,009397;2014
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;SEGUNDA-FEIRA;BOM;NOITE;NORTE;-51,134214;-30,001373;2014
AV SERTORIO;Cruzamento;ABALROAMENTO;SEXTA-FEIRA;BOM;NOITE;NORTE;-51,13283;-29998951;2014
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;COLISAO;SABADO;BOM;NOITE;LESTE;-51,132497;-30,088717;2014
ESTR JOAO ANTONIO SILVEIRA;Logradouro;COLISAO;SEXTA-FEIRA;BOM;NOITE;SUL;-51,132255;-30,148794;2014
ESTR JOAO DE OLIVEIRA REMIAO;Logradouro;CHOQUE;QUARTA-FEIRA;BOM;NOITE;LESTE;-51,131856;-30,080423;2014
AV ASSIS BRASIL;Logradouro;ATROPELAMENTO;QUARTA-FEIRA;BOM;DIA;NORTE;-51,130345;-29994653;2014
AV BENTO GONCALVES;Cruzamento;ABALROAMENTO;QUARTA-FEIRA;NUBLADO;DIA;LESTE;-51,12748;-30,076072;2014
R ERNESTO LISCANO;Logradouro;COLISAO;SEXTA-FEIRA;BOM;NOITE;LESTE;-51,127295;-30,08838;2014
